Predator,Predbodymasskg,Prey,JacobsIndex,JI_SE,PercentOfKills,SE,Preybodymasskg34adultfemalemass,Preybodymasskg,HerdSize,HabitatDensity,ThreatToPredator
Acinonyx jubatus,63.5,Impala Aepyceros melampus,0.11,0.08,32.00,5.40,30,40.00,4,2,0
Acinonyx jubatus,63.5,"Reedbuck, common Redunca aruninum",0.12,0.24,4.20,1.30,32.00,42.67,3.00,1.50,0.50
Acinonyx jubatus,63.5,"Reedbuck, Bohor Redunca redunca",0.99,NaN,NaN,NaN,35.00,46.67,3.00,1.00,0.50
Acinonyx jubatus,63.5,Grant's gazelle Gazella granti,0.39,0.22,13.20,4.60,38,50.67,4,1,0
Acinonyx jubatus,63.5,"Grant's gazelle (excluding Kruuk and Tumer, 1967)",0.59,0.10,14.90,4.90,38.00,50.67,NaN,NaN,NaN
Acinonyx jubatus,63.5,"Warthog Phacochoerus africanus""",-0.41,0.11,3.50,0.70,45.00,60.00,3.00,2.00,1.50
Acinonyx jubatus,63.5,Bushpig Potamochoerus larvatus,-1.00,0.00,0.00,0.00,46,61.33,3,3,1
Acinonyx jubatus,63.5,Bontebok Damaliscus dorcas dorcas,-1.00,0.00,0.00,0.00,46.5,62.00,3,1,0
Acinonyx jubatus,63.5,Nyala Tragelaphus angasi,-0.58,0.26,13.40,8.50,47.00,62.67,3.00,2.00,0.50
Acinonyx jubatus,63.5,Puku Kobus vardoni,0.99,NaN,NaN,NaN,52.00,69.33,4.00,1.00,1.00
Acinonyx jubatus,63.5,Blesbok Damaliscus dorcas phillipsi,0.62,0.07,9.00,1.80,52.5,70.00,3,1,0
Acinonyx jubatus,63.5,Lechwe Kobus leche,-1.00,0.00,0.00,0.00,60.00,80.00,4.00,1.00,1.00
Acinonyx jubatus,63.5,Topi/tsessebe Damaliscus lunatus,-0.65,0.15,0.70,0.30,90.00,120.00,3.00,2.00,1.00
Acinonyx jubatus,63.5,Hartebeest Alcephalus busephalus,-0.18,0.11,4.80,1.00,95,126.67,4,1.5,1
Acinonyx jubatus,63.5,"Wildebeest, black Connochaetes gnou",-1.00,0.00,0.00,0.00,100.00,133.33,4.00,1.00,1.50
Acinonyx jubatus,63.5,Kudu Tragelaphus strepsicerus,-0.04,0.10,9.60,2.80,135,180.00,3,2,0.5
Acinonyx jubatus,63.5,"Wildebeest, blue Connochaetes taurinus""",-0.63,0.07,4.70,1.20,135.00,180.00,5.00,1.00,1.50
Acinonyx jubatus,63.5,Gemsbok Oryx gazella,-0.66,0.19,1.10,0.70,158,210.67,4,1,2
Acinonyx jubatus,63.5,"Zebra, plains Equus burchelli",-0.69,0.07,2.00,0.50,175.00,233.33,3.00,2.00,1.50
Acinonyx jubatus,63.5,"Zebra, Cape mountain Equus zebra",-1.00,0.00,0.00,0.00,179.00,238.67,3.00,1.50,1.50
Acinonyx jubatus,63.5,Sable Hippotragus niger,-0.61,0.18,0.60,0.40,180.00,240.00,4.00,2.00,1.50
Acinonyx jubatus,63.5,Waterbuck Kobus ellipsiprymnus,-0.13,0.14,3.50,1.00,188.00,250.67,3.50,2.00,1.50
Acinonyx jubatus,63.5,Roan Hippotragus equines,-0.79,0.21,0.10,0.10,220.00,293.33,3.50,2.00,1.50
Acinonyx jubatus,63.5,Eland Tragelaphus oryx,-0.84,0.06,0.30,0.20,345,460.00,5,2,2
Acinonyx jubatus,63.5,Buffalo Syncerus caffer,-0.98,0.01,0.20,0.10,432,576.00,5,2,2
Acinonyx jubatus,63.5,Giraffe Giraffa camelopardalis,-0.95,0.04,0.00,0.00,550,733.33,3,2,2
Acinonyx jubatus,63.5,Hippopotamus Hippopotamus amphibius,-1.00,0.00,0.00,0.00,750,1000.00,3,1.5,2
Acinonyx jubatus,63.5,"Rhinoceros, black Diceros bicomis",-1.00,0.00,0.00,0.00,800.00,1066.67,1.00,2.00,2.00
Acinonyx jubatus,63.5,"Rhinoceros, white Ceratotherium simum",-1.00,0.00,0.00,0.00,1400.00,1866.67,2.00,1.50,2.00
Acinonyx jubatus,63.5,Elephant Loxodonta africana,-1.00,0.00,0.00,0.00,1600,2133.33,4,2,2
Panthera tigris,195,"Hare, black-naped Lepus nigricollis",-0.71,NaN,0.02,NaN,1.5,2,NaN,NaN,
Panthera tigris,195,Langur Semnopithecus entellus,-0.87,0.06,0.02,0.01,5,6.666666667,5,2,
Panthera tigris,195,Macaque Macacca spp.,-0.87,0.13,0.01,0.01,9,12,5,2,
Panthera tigris,195,"Deer, musk Moschus moschiferous",-1,0,0,0,10,13.33333333,1,3,
Panthera tigris,195,Porcupine Hystrix indica,-0.16,NaN,0.04,NaN,10,13.33333333,NaN,NaN,
Panthera tigris,195,Muntjac Muntiacus muntjak,-0.21,0.18,0.09,0.04,14,18.66666667,1,3,
Panthera tigris,195,"Deer, roe Capreolus capreolus",-0.32,0.2,0.1,0.05,15,20,3,2,
Panthera tigris,195,Four-horned antelope Teratocerus quadricornis,-0.39,0.29,0.03,0.02,17,22.66666667,1,2,
Panthera tigris,195,"Gazelle, chinkara Gazella bennetti",-0.83,0.1,0.01,0,18,24,5,1,
Panthera tigris,195,"Goral, common Nemorhaedus goral",-1,0,0,0,22,29.33333333,3,2,
Panthera tigris,195,"Deer, Timor C. timorensis",-0.35,NaN,0.22,NaN,27.75,37,3,3,
Panthera tigris,195,Blackbuck,-0.07,NaN,0,NaN,28,37.33333333,NaN,NaN,
Panthera tigris,195,"Deer, chital Axis axis",-0.18,0.08,0.34,0.04,30,40,4,1.5,
Panthera tigris,195,"Deer, sika C. Nippon",-0.56,0.26,0.11,0.06,30,40,2,3,
Panthera tigris,195,"Deer, hog A. porcinus",-0.13,0.22,0.14,0.05,36,48,2,2,
Panthera tigris,195,Wild boar Sus scrofa,0.34,0.08,0.14,0.02,60,80,5,3,
Panthera tigris,195,Nilgiri tahr Hemitragus hylocrius,-1,NaN,0,NaN,80,106.6666667,NaN,NaN,
Panthera tigris,195,Nilgai Boselaphus tragecamelus,-0.4,0.17,0.03,0.01,169,225.3333333,4,2,
Panthera tigris,195,Barasingha Cervus duvauceli,0.27,0.44,0.04,0.03,172,229.3333333,4,1,
Panthera tigris,195,"Deer, sambar C. unicolor",0.35,0.08,0.34,0.04,200,266.6666667,3,2,
Panthera tigris,195,Tapir Tapirus indicus,0.96,NaN,0.29,NaN,222,296,NaN,NaN,
Panthera tigris,195,Cattle Bos Taurus,-0.89,0.04,0.13,0.09,235,313.3333333,3,1.5,
Panthera tigris,195,Moose Alces alces,-0.51,0.16,0.02,0.02,270,360,1,2,
Panthera tigris,195,Banteng Bos banteng,-0.44,0.56,0.22,0.22,400,533.3333333,5,2,
Panthera tigris,195,Gaur Bos gaur,-0.3,0.21,0.05,0.02,650,866.6666667,3,3,
Panthera tigris,195,Javan Rhinoceros,0.65,NaN,0.2,NaN,1076.25,1435,NaN,NaN,
Panthera tigris,195,"Rhinoceros, great Indian Rhinoceros unicornis",-1,0,0,0,1600,2133.333333,1,2,
Panthera tigris,195,"Elephant, Asian Elaphus maximus",-0.86,0.14,0.01,0.01,2720,3626.666667,3,3,
