continent,order,family,genus,genus_age,richness,mass_mean_log10,mass_mean_grams
South America,Rodentia,Caviidae,Dolichotis,,2,3.55,3548.133892
South America,Carnivora,Canidae,Urocyon,,1,3.58,3801.893963
North America,Carnivora,Mustelidae,Eira,,1,3.59,3890.45145
South America,Carnivora,Procyonidae,Nasua,,2,3.59,3890.45145
Australia,Diprotodontia,Macropodidae,Petrogale,,11,3.6,3981.071706
South America,Xenarthra,Bradypodidae,Bradypus,,3,3.6,3981.071706
Africa,Carnivora,Canidae,Otocyon,,1,3.62,4168.693835
Africa,Primates,Cercopithecidae,Cercopithecus,,13,3.62,4168.693835
South America,Xenarthra,Megalonychidae,Choloepus,,2,3.63,4265.795188
Africa,Artiodactyla,Bovidae,Neotragus,,3,3.63,4265.795188
Australia,Monotremata,Tachyglossidae,Tachyglossus,,1,3.65,4466.835922
Africa,Rodentia,Thryonomyidae,Thryonomys,,2,3.66,4570.881896
South America,Carnivora,Procyonidae,Procyon,,3,3.66,4570.881896
South America,Rodentia,Chinchillidae,Lagostomus,,1,3.67,4677.351413
South America,Primates,Cebidae,Cacajao,,2,3.67,4677.351413
Africa,Primates,Cercopithecidae,Allenopithecus,,1,3.68,4786.300923
Africa,Primates,Cercopithecidae,Chlorocebus,,1,3.68,4786.300923
South America,Xenarthra,Dasypodidae,Euphractus,,1,3.68,4786.300923
South America,Xenarthra,Myrmecophagidae,Tamandua,,2,3.68,4786.300923
South America,Primates,Cebidae,Ateles,,6,3.69,4897.788194
Africa,Artiodactyla,Bovidae,Madoqua,,3,3.7,5011.872336
Australia,Diprotodontia,Macropodidae,Thylogale,,3,3.71,5128.61384
South America,Carnivora,Canidae,Cerdocyon,,1,3.72,5248.074602
Africa,Pholidota,Manidae,Manis,,4,3.77,5888.436554
Africa,Primates,Cercopithecidae,Procolobus,,2,3.78,6025.595861
South America,Carnivora,Canidae,Speothos,,1,3.78,6025.595861
Australia,Diprotodontia,Macropodidae,Onychogalea,,2,3.78,6025.595861
Australia,Diprotodontia,Phalangeridae,Spilocuscus,,1,3.81,6456.54229
South America,Primates,Cebidae,Lagothrix,,2,3.82,6606.93448
Africa,Carnivora,Mustelidae,Lutra,,2,3.82,6606.93448
South America,Primates,Cebidae,Alouatta,,7,3.83,6760.829754
South America,Rodentia,Myocastoridae,Myocastor,,1,3.84,6918.309709
Africa,Primates,Cercopithecidae,Macaca,,1,3.85,7079.457844
North America,Rodentia,Erethizontidae,Erethizon,,1,3.85,7079.457844
North America,Carnivora,Mustelidae,Taxidea,,1,3.85,7079.457844
Africa,Primates,Cercopithecidae,Erythrocebus,,1,3.86,7244.359601
North America,Carnivora,Mustelidae,Lontra,,3,3.87,7413.102413
Africa,Primates,Cercopithecidae,Colobus,,3,3.88,7585.77575
Africa,Primates,Cercopithecidae,Lophocebus,,1,3.89,7762.471166
South America,Carnivora,Canidae,Atelocynus,,1,3.89,7762.471166
Africa,Primates,Cercopithecidae,Cercocebus,,2,3.89,7762.471166
North America,Rodentia,Agoutidae,Agouti,,2,3.9,7943.282347
Australia,Dasyuromorphia,Dasyuridae,Sarcophilus,,1,3.9,7943.282347
Africa,Carnivora,Mustelidae,Mellivora,,1,3.9,7943.282347
Australia,Diprotodontia,Macropodidae,Dendrolagus,,2,3.93,8511.380382
Australia,Diprotodontia,Vombatidae,Lasiorhinus,,2,3.93,8511.380382
North America,Carnivora,Felidae,Herpailurus,,1,3.95,8912.509381
North America,Carnivora,Felidae,Lynx,,2,3.96,9120.108394
South America,Carnivora,Felidae,Oreailurus,,1,3.96,9120.108394
South America,Artiodactyla,Cervidae,Pudu,,2,3.99,9772.37221
Africa,Carnivora,Hyaenidae,Proteles,,1,4,10000
Africa,Artiodactyla,Bovidae,Raphicerus,,3,4,10000
Africa,Artiodactyla,Bovidae,Dorcatragus,,1,4.01,10232.92992
Australia,Diprotodontia,Phascolarctidae,Phascolarctos,,1,4.01,10232.92992
Africa,Carnivora,Felidae,Profelis,,1,4.03,10715.19305
Africa,Artiodactyla,Tragulidae,Hyemoschus,,1,4.04,10964.78196
Africa,Carnivora,Viverridae,Civettictis,,1,4.08,12022.64435
Africa,Carnivora,Felidae,Leptailurus,,1,4.08,12022.64435
South America,Rodentia,Dinomyidae,Dinomys,,1,4.1,12589.25412
Africa,Carnivora,Canidae,Canis,,7,4.1,12589.25412
Africa,Artiodactyla,Bovidae,Oreotragus,,1,4.11,12882.49552
South America,Primates,Cebidae,Brachyteles,,1,4.13,13489.62883
Africa,Carnivora,Felidae,Caracal,,1,4.14,13803.84265
North America,Rodentia,Castoridae,Castor,,1,4.16,14454.39771
North America,Carnivora,Mustelidae,Gulo,,1,4.16,14454.39771
Australia,Diprotodontia,Macropodidae,Wallabia,,1,4.18,15135.61248
Australia,Diprotodontia,Macropodidae,Macropus,,13,4.18,15135.61248
Africa,Primates,Cercopithecidae,Mandrillus,,2,4.22,16595.86907
Africa,Rodentia,Hystricidae,Hystrix,,2,4.22,16595.86907
Africa,Primates,Cercopithecidae,Theropithecus,,1,4.23,16982.43652
Africa,Artiodactyla,Bovidae,Ourebia,,1,4.24,17378.00829
Africa,Artiodactyla,Bovidae,Cephalophus,,17,4.26,18197.00859
North America,Artiodactyla,Cervidae,Mazama,,6,4.28,19054.60718
Africa,Artiodactyla,Bovidae,Sylvicapra,,1,4.29,19498.446
Africa,Artiodactyla,Bovidae,Pelea,,1,4.3,19952.62315
Africa,Primates,Cercopithecidae,Papio,,1,4.33,21379.6209
Africa,Carnivora,Mustelidae,Aonyx,,2,4.33,21379.6209
South America,Artiodactyla,Tayassuidae,Pecari,,1,4.33,21379.6209
Africa,Carnivora,Canidae,Lycaon,,1,4.34,21877.61624
North America,Xenarthra,Myrmecophagidae,Myrmecophaga,,1,4.35,22387.21139
South America,Carnivora,Canidae,Chrysocyon,,1,4.37,23442.28815
South America,Carnivora,Mustelidae,Pteronura,,1,4.38,23988.32919
Australia,Diprotodontia,Vombatidae,Vombatus,,1,4.41,25703.95783
Africa,Artiodactyla,Bovidae,Ammodorcas,,1,4.45,28183.82931
Africa,Artiodactyla,Bovidae,Gazella,,9,4.48,30199.5172
Africa,Carnivora,Hyaenidae,Parahyaena,,1,4.51,32359.36569
North America,Artiodactyla,Tayassuidae,Tayassu,,1,4.51,32359.36569
South America,Artiodactyla,Tayassuidae,Catagonus,,1,4.55,35481.33892
Africa,Artiodactyla,Bovidae,Litocranius,,1,4.58,38018.93963
Africa,Artiodactyla,Bovidae,Antidorcas,,1,4.59,38904.5145
Africa,Primates,Hominidae,Pan,,2,4.59,38904.5145
South America,Artiodactyla,Cervidae,Ozotoceros,,1,4.6,39810.71706
Africa,Artiodactyla,Bovidae,Redunca,,3,4.63,42657.95188
South America,Xenarthra,Dasypodidae,Priodontes,,1,4.66,45708.81896
Africa,Carnivora,Hyaenidae,Hyaena,,1,4.66,45708.81896
North America,Artiodactyla,Antilocapridae,Antilocapra,,1,4.66,45708.81896
South America,Artiodactyla,Camelidae,Vicugna,,1,4.68,47863.00923
Australia,Artiodactyla,Cervidae,Dama,,1,4.69,48977.88194
Australia,Artiodactyla,Cervidae,Axis,,2,4.69,48977.88194
Africa,Carnivora,Felidae,Acinonyx,,1,4.7,50118.72336
South America,Carnivora,Felidae,Puma,,1,4.71,51286.1384
Africa,Tubulidentata,Orycteropodidae,Orycteropus,,1,4.72,52480.74602
Africa,Artiodactyla,Bovidae,Aepyceros,,1,4.72,52480.74602
North America,Artiodactyla,Cervidae,Odocoileus,,2,4.74,54954.08739
Australia,Artiodactyla,Bovidae,Capra,,2,4.76,57543.99373
South America,Rodentia,Hydrochaeridae,Hydrochaeris,,1,4.8,63095.73445
Africa,Carnivora,Hyaenidae,Crocuta,,1,4.8,63095.73445
Africa,Artiodactyla,Cervidae,Cervus,,3,4.8,63095.73445
North America,Artiodactyla,Bovidae,Ovis,,2,4.81,64565.4229
South America,Artiodactyla,Cervidae,Hippocamelus,,2,4.84,69183.09709
Africa,Artiodactyla,Bovidae,Addax,,1,4.85,70794.57844
Africa,Artiodactyla,Suidae,Potamochoerus,,1,4.85,70794.57844
Africa,Artiodactyla,Suidae,Phacochoerus,,1,4.85,70794.57844
North America,Artiodactyla,Bovidae,Oreamnos,,1,4.86,72443.59601
Africa,Artiodactyla,Bovidae,Ammotragus,,1,4.92,83176.37711
South America,Artiodactyla,Camelidae,Lama,,1,4.93,85113.80382
North America,Artiodactyla,Cervidae,Rangifer,,1,4.93,85113.80382
Australia,Artiodactyla,Suidae,Sus,,1,4.94,87096.359
South America,Artiodactyla,Cervidae,Blastocerus,,1,4.94,87096.359
Africa,Artiodactyla,Bovidae,Damaliscus,,3,4.94,87096.359
Africa,Carnivora,Felidae,Panthera,,3,4.98,95499.2586
Africa,Artiodactyla,Bovidae,Tragelaphus,,7,5.08,120226.4435
Africa,Primates,Hominidae,Gorilla,,1,5.09,123026.8771
Africa,Artiodactyla,Suidae,Hylochoerus,,1,5.15,141253.7545
South America,Carnivora,Ursidae,Tremarctos,,1,5.15,141253.7545
North America,Carnivora,Ursidae,Ursus,,3,5.23,169824.3652
Africa,Artiodactyla,Bovidae,Alcelaphus,,1,5.23,169824.3652
Africa,Artiodactyla,Bovidae,Sigmoceros,,1,5.23,169824.3652
Africa,Artiodactyla,Bovidae,Connochaetes,,2,5.26,181970.0859
Africa,Artiodactyla,Bovidae,Oryx,,2,5.26,181970.0859
South America,Perissodactyla,Tapiridae,Tapirus,,3,5.32,208929.6131
Africa,Artiodactyla,Giraffidae,Okapia,,1,5.36,229086.7653
Africa,Artiodactyla,Hippopotamidae,Hexaprotodon,,1,5.37,234422.8815
Africa,Artiodactyla,Bovidae,Hippotragus,,2,5.39,245470.8916
Australia,Perissodactyla,Equidae,Equus,,4,5.49,309029.5433
North America,Artiodactyla,Cervidae,Alces,,1,5.56,363078.0548
North America,Artiodactyla,Bovidae,Ovibos,,1,5.57,371535.2291
Australia,Artiodactyla,Bovidae,Bos,,1,5.68,478630.0923
Africa,Artiodactyla,Bovidae,Taurotragus,,1,5.76,575439.9373
North America,Artiodactyla,Bovidae,Bison,,1,5.76,575439.9373
Africa,Artiodactyla,Bovidae,Syncerus,,1,5.76,575439.9373
Australia,Artiodactyla,Camelidae,Camelus,,1,5.9,794328.2347
Africa,Artiodactyla,Bovidae,Bubalus,,1,5.92,831763.7711
Africa,Artiodactyla,Giraffidae,Giraffa,,1,5.95,891250.9381
Africa,Perissodactyla,Rhinocerotidae,Diceros,,1,6.07,1174897.555
Africa,Artiodactyla,Hippopotamidae,Hippopotamus,,1,6.15,1412537.545
Africa,Perissodactyla,Rhinocerotidae,Ceratotherium,,1,6.47,2951209.227
Africa,Proboscidea,Elephantidae,Loxodonta,,1,6.6,3981071.706
