loc,time,habitat,species,trophic,d13c,d15n,family,predmass_min,predmass_max,Body Mass Reference,Isotope Reference
Fairmead,mid-Pleistocene,C3C4,Camelops sp.,1,-9.6,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Camelops sp.,1,-8.2,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-11.6,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-11.4,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-8.8,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-12.8,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-8.5,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-12.5,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Equus sp.,1,-11.3,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Hemiauchenia sp.,1,-13.3,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Hemiauchenia sp.,1,-9.3,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Hemiauchenia sp.,1,-11.8,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-10.6,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-10.7,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-11.1,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-9.3,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-12.2,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-11.6,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Mammuthus columbi,1,-9.7,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Platygonus vetus,1,-13.5,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-10.8,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-11,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-11.5,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-10.5,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Odocoileus virginianus,1,-12.46,,,,,,Trayler 2015
Fairmead,mid-Pleistocene,C3C4,Capromeryx sp.,1,-11.1,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-12.76,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-11.49,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-13.24,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Tetrameryx irvingtonensis,1,-12.04,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Camelops minidokae,1,-12.07,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Camelops minidokae,1,-11.66,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Camelops minidokae ,1,-11.8,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Camelops minidokae ,1,-9.86,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Camelops minidokae,1,-11.15,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Equus sp.,1,-13.52,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Equus sp.,1,-12.27,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Equus sp.,1,-12.88,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Equus sp.,1,-10.53,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Equus sp.,1,-12.1,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Hemiauchenia ,1,-13.25,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Mammuthus columbi,1,-13.18,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Mammuthus columbi,1,-11.71,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Mammuthus columbi,1,-12.88,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Mammut americanum,1,-9.91,,,,,,Trayler 2015
Irvington,early Pleistocene,C3C4,Arctodus simus,2,-14.5,,U,570,1000,"Sorkin, 2006",Trayler 2015
Irvington,early Pleistocene,C3C4,Canis dirus,2,-14.35,,C,60,68,"Anyonge, 2006",Trayler 2015
Irvington,early Pleistocene,C3C4,Canis dirus,2,-12,,C,60,68,"Anyonge, 2006",Trayler 2015
Irvington,early Pleistocene,C3C4,Panthera onca,2,-16.08,,F,57,113,,Trayler 2015
Irvington,early Pleistocene,C3C4,Homotherium sp.,2,-15.05,,F,146,220,Palmqvist 1996,Trayler 2015
La Brea - P23,Pre-glacial,C3,Bison antiquus,1,-20,7.9,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Bison antiquus,1,-20.1,9.8,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Bison antiquus,1,-20.1,9.6,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Camelops hesternus,1,-19.6,8.2,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18,12,C,60,68,"Anyonge, 2006",Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18.1,8.8,C,60,68,"Anyonge, 2006",Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18.3,9,C,60,68,"Anyonge, 2006",Fuller 2020
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-19,11,C,60,68,"Anyonge, 2006",Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18.9,10.7,C,60,68,"Anyonge, 2006",Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18.5,11.2,C,60,68,"Anyonge, 2006",Fuller 2020
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18.9,10.9,C,60,68,"Anyonge, 2006",Fuller 2020
La Brea - P23,Pre-glacial,C3,Canis dirus,2,-18.8,12.1,C,60,68,"Anyonge, 2006",Fuller 2020
La Brea - P23,Pre-glacial,C3,Canis latrans,2,-18.3,11.4,C,60,68,"Anyonge, 2006",Fuller 2020
La Brea - P23,Pre-glacial,C3,Actinemys marmorata,1,-23.3,9.2,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Crotalus sp.,1,-22.6,9.6,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Equus occidentalis,1,-20.8,9.8,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Equus occidentalis,1,-20.7,9.5,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Equus occidentalis,1,-21,6.3,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Equus occidentalis,1,-20.7,6.7,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Lepus sp.,1,-20.9,6.6,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Nothrotheriops shastensis,1,-19.5,8.4,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Panthera atrox,2,-18.4,5.7,F,344,420,Sherani 2016,Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Paramylodon harlani,1,-20.2,8.3,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Paramylodon harlani,1,-20.2,9.6,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Paramylodon harlani,1,-20.5,9.1,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Paramylodon harlani,1,-20.5,8.9,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-18,11.2,F,347,355,Palmqvist 1996,Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-18.9,10.7,F,347,355,Palmqvist 1996,Fuller et al. 2014
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-18.6,11.5,F,347,355,Palmqvist 1996,Fuller 2020
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-18.7,11.2,F,347,355,Palmqvist 1996,Fuller 2020
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-19,10.7,F,347,355,Palmqvist 1996,Fuller 2020
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-19,10.7,F,347,355,Palmqvist 1996,Fuller 2020
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-18.8,10.3,F,347,355,Palmqvist 1996,Fuller 2020
La Brea - P23,Pre-glacial,C3,Smilodon fatalis,2,-18.8,10.9,F,347,355,Palmqvist 1996,Fuller 2020
La Brea - P23,Pre-glacial,C3,Spermophilus beecheyi,1,-20.4,7,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Spermophilus beecheyi,1,-20.5,6.9,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Spermophilus beecheyi,1,-20.4,5.9,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Sylvilagus sp.,1,-20.9,7.5,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Sylvilagus sp.,1,-21.2,7.4,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Sylvilagus sp.,1,-21.9,6.3,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Sylvilagus sp.,1,-22.1,6.3,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Sylvilagus sp.,1,-21.1,6.5,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Sylvilagus sp.,1,-21.2,6.9,,,,,Fuller 2020
La Brea - P23,Pre-glacial,C3,Capromeryx minor,1,-20.6,9.3,,,,,Fuller 2020
La Brea,Pre/Full-glacial,C3,C. dirus,2,-16.95,12.78,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-17.95,11.76,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.58,10.75,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.55,11.07,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.1,11.61,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-17.81,11.65,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.38,12.15,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.58,13.49,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.46,9.98,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.07,10.05,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.95,10.84,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.8,11.91,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.49,11.89,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.13,12.78,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.43,11.63,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.67,9.94,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.46,12.94,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.31,10.47,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.67,11.7,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-19.06,8.89,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.11,11.55,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.62,12.09,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-16.39,12.12,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.21,9.91,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. dirus,2,-18.77,9.71,C,60,68,"Anyonge, 2006",Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-19.58,11.3,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-19.03,10.84,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-19.88,9.82,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-20.08,10.83,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-20.81,10.55,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-20.31,11.17,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-18.36,7.36,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-20.1,9.71,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. latrans,2,-20.7,9.13,C,8,20,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-17.94,12.05,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-18.74,10.62,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-19.26,10.75,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-20.11,10.13,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-19.3,8.7,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-18.56,12.34,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-19.2,12.42,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. leo atrox,2,-18.31,12.34,F,344,420,Sherani 2016,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.01,11.93,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.93,10.47,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.76,12.21,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.1,12.04,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.8,11.46,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.32,11.05,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-16.46,12.87,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.37,10.88,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.49,11.44,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.67,11.43,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.52,13.15,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.68,13.16,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.48,12.91,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.82,12.1,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.67,11.71,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.09,11.16,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.25,13.6,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.13,12.7,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.7,11.87,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-19.4,11.88,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.17,11.72,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-18.46,11.52,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,S. fatalis,2,-17.2,12.04,F,347,355,Palmqvist 1996,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.41,8.31,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-19.62,7.53,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.26,9.68,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.72,8.97,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-21,9.85,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.4,8.8,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.63,8.99,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.39,8.87,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.46,9.79,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.63,8.79,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.79,8.41,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. hesternus,1,-20.46,8.69,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-20.76,4.93,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-20.79,6.91,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.22,6.25,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.16,8.02,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.6,6.46,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.23,6.83,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.14,6.74,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-20.72,6.17,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.7,6.83,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-22.02,4.36,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.16,6.09,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.71,6.29,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.61,4.72,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.19,7.61,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.56,8.19,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.18,5.78,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.03,6.35,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-20.98,3.98,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,E. occidentalis,1,-21.35,4.34,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-20.7,7.34,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-20.38,6.44,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-21.16,6.74,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-20.66,7.2,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-19.99,10.12,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-21.41,8.61,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-21.49,9.52,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-21.27,8.52,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-21.48,8.19,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,P. harlani,1,-21.36,6.65,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.4,7.67,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.8,8.37,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.43,7.64,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.38,8.13,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.72,8.76,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.91,8.98,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.99,8.69,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.93,8.23,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.6,9.58,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.63,10,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-21.17,11.01,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.35,8.39,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.42,9.66,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.8,11.19,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.79,9.21,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-20.04,9.06,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,B. antiquus,1,-19.11,9.89,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-20.02,5.09,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-19.98,4.44,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-19.87,4.35,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-20.53,4.21,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-20.46,4.16,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-20.72,4.27,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,M. americanum,1,-20.78,4.34,,,,,Coltrain 2004
La Brea,Pre/Full-glacial,C3,C. minor,1,-20.52,9.33,,,,,Coltrain 2004
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-10.9,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-8.3,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-9.9,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-10.3,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-9.3,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-12,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-9.3,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-8.3,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-9.6,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Canis edwardii,2,-7,,C,20,40,Gazin 1942,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Capromeryx arizonensis,1,-13.1,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Capromeryx arizonensis,1,-11.3,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Equus sp.,1,-4.8,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Equus sp.,1,-4.6,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-10.2,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-9.1,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-12.4,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-11.3,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-11.3,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-11.2,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Hemiauchenia macrocephala,1,-10.8,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Mammut americanum,1,-12,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-12.5,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-13.7,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-15.1,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-14.7,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-13.4,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-13.2,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-13.4,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Odocoileus virginianus,1,-15.3,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Platygonus vetus,1,-11.5,,,,,,Feranec 2014
Florida,early/mid Pleistocene,C3C4,Platygonus vetus,1,-12,,,,,,Feranec 2014
